Date,Step Count,Distance (km),Calories Burned
2018-08-24,1220,509.62732,0.0
2018-08-25,199,76.75800000000001,0.0
2018-08-26,7373,2945.6470699999995,0.0
2018-08-27,2936,1074.009956,0.0
2018-08-28,681,281.97199,0.0
2018-08-29,715,306.91020000000003,0.0
2018-08-30,359,153.8493,0.0
2018-08-31,3791,1528.7968199999998,0.0
2018-09-01,1478,606.0543400000001,0.0
2018-09-02,1020,436.5319000000001,0.0
2018-09-03,349,138.88268,0.0
2018-09-12,37277,16678.899999999998,0.0
2018-09-13,1539,127.4122,0.0
2018-09-16,7508,3688.7179299999993,0.0
2018-09-17,138,55.432476,0.0
2018-09-22,15205,6456.81895,0.0
2018-09-24,12799,5260.31904,0.0
2018-09-25,155,69.1835,0.0
2018-09-28,13086,5665.3242900000005,0.0
2018-09-29,2427,1009.4489700000001,0.0
2018-09-30,364,146.74921999999998,0.0
2018-10-01,3631,1654.63707,0.0
2018-10-02,3258,1412.5883900000001,0.0
2018-10-03,2714,1141.1921900000002,0.0
2018-10-04,3151,1370.9616800000001,0.0
2018-10-05,7315,3011.81995,0.0
2018-10-06,9629,3758.3369599999996,0.0
2018-10-07,3267,1329.4924399999995,0.0
2018-10-08,1922,781.1196500000001,0.0
2018-10-09,10300,4728.29407,0.0
2018-10-10,2775,1211.6686359999999,0.0
2018-10-11,3480,1450.0808,0.0
2018-10-12,3588,1553.5330860000001,0.0
2018-10-13,4790,1969.4730699999998,0.0
2018-10-14,99,41.731359999999995,0.0
2018-10-15,686,304.59013,0.0
2018-10-16,4448,1859.3981999999999,0.0
2018-10-17,3108,1285.8282399999998,0.0
2018-10-18,3661,1548.91726,0.0
2018-10-19,3339,1485.0522299999998,0.0
2018-10-20,16488,7276.038764000001,0.0
2018-10-21,891,373.22853,0.0
2018-10-22,4855,2083.614167,0.0
2018-10-23,3751,1575.275,0.0
2018-10-24,6336,2650.39997,0.0
2018-10-25,5031,2178.3335999999995,0.0
2018-10-26,12665,5263.290219999999,0.0
2018-10-27,1670,681.6157600000001,0.0
2018-10-28,732,310.71666500000003,0.0
2018-10-29,4449,1937.2759600000002,0.0
2018-10-30,4727,2020.57232,0.0
2018-10-31,8051,3583.2442299999993,0.0
2018-11-01,3585,1539.41138,0.0
2018-11-02,2718,1202.2247399999999,0.0
2018-11-03,167,78.01945,0.0
2018-11-04,1143,471.74169,0.0
2018-11-05,3102,1335.65632,0.0
2018-11-06,4155,1780.57699,0.0
2018-11-07,7467,3327.413775,0.0
2018-11-08,9782,4088.9752899999994,0.0
2018-11-09,9308,4267.344821999999,0.0
2018-11-10,9353,3867.79835,0.0
2018-11-11,345,151.60836000000003,0.0
2018-11-12,6338,2690.89419,0.0
2018-11-13,5573,2360.41595,0.0
2018-11-14,3591,1568.8169500000001,0.0
2018-11-15,3700,1539.2734799999992,0.0
2018-11-16,2204,936.2313099999998,0.0
2018-11-17,2571,1125.7496800000001,0.0
2018-11-18,3679,1488.4825999999998,0.0
2018-11-19,5336,2358.99393,0.0
2018-11-20,3613,1567.86249,0.0
2018-11-21,3440,1539.18604,0.0
2018-11-22,1373,565.65901,0.0
2018-11-23,11465,4784.245600000001,0.0
2018-11-24,885,387.44336000000004,0.0
2018-11-25,2275,975.7331600000001,0.0
2018-11-26,3872,1711.9752399999998,0.0
2018-11-27,3174,1388.93131,0.0
2018-11-28,3563,1576.8006299999995,0.0
2018-11-29,2127,960.76014,0.0
2018-11-30,5733,2496.8241299999995,0.0
2018-12-01,4885,2129.936249,0.0
2018-12-02,1973,856.11899,0.0
2018-12-03,5040,2222.3695100000004,0.0
2018-12-04,3897,1653.905129,0.0
2018-12-05,5290,2272.20503,0.0
2018-12-06,5159,2323.2170499999997,0.0
2018-12-07,13851,6133.846860000001,0.0
2018-12-08,1135,493.47175000000004,0.0
2018-12-09,567,249.251151,27.83
2018-12-10,3914,1681.50783,0.0
2018-12-11,4253,1848.6217599999998,0.0
2018-12-12,3581,1583.07979,0.0
2018-12-13,3198,1426.7913400000004,0.0
2018-12-14,4769,2048.0099400000004,0.0
2018-12-15,837,362.706787,0.0
2018-12-16,2248,989.45846,0.0
2018-12-17,5880,2586.190070000001,0.0
2018-12-18,5096,2208.9053400000003,0.0
2018-12-19,3450,1521.8501300000003,0.0
2018-12-20,2509,1137.53156,0.0
2018-12-21,3649,1549.9793800000007,0.0
2018-12-22,6440,2738.134339999999,0.0
2018-12-23,5114,2098.34286,0.0
2018-12-24,3470,1486.960307,0.0
2018-12-25,2122,893.63154,0.0
2018-12-26,2445,1039.1062,0.0
2018-12-27,1775,764.56595,0.0
2018-12-28,497,211.30966999999998,0.0
2018-12-29,11162,5017.187160000001,0.0
2018-12-30,7162,2930.7673000000004,0.0
2018-12-31,1640,701.6088699999999,0.0
2019-01-01,1346,612.2437399999999,0.0
2019-01-02,2751,1234.1545900000003,0.0
2019-01-03,5258,2206.0598680000003,0.0
2019-01-04,2881,1297.49962,0.0
2019-01-05,4462,2003.0692370000004,0.0
2019-01-06,3187,1375.4423800000002,0.0
2019-01-07,4663,2021.6428999999996,0.0
2019-01-08,4881,2021.2642799999999,0.0
2019-01-09,3211,1439.11428,0.0
2019-01-10,5224,2331.1918600000004,0.0
2019-01-11,4670,1852.7917000000002,0.0
2019-01-12,5135,2226.7421900000004,0.0
2019-01-13,5465,2396.1537900000008,0.0
2019-01-14,6239,2713.86994,0.0
2019-01-15,8224,3551.5267,0.0
2019-01-16,5799,2499.5902400000004,0.0
2019-01-17,4829,2057.489648,0.0
2019-01-18,4955,2188.6958700000005,0.0
2019-01-19,2884,1214.2533199999996,0.0
2019-01-20,4882,2106.05805,0.0
2019-01-21,4542,1878.9434700000004,0.0
2019-01-22,5788,2551.9350700000005,0.0
2019-01-23,4192,1843.8206819999998,0.0
2019-01-24,5609,2405.3802100000007,0.0
2019-01-25,2806,1215.1477900000002,0.0
2019-01-26,5175,2174.3337400000005,0.0
2019-01-27,2840,1189.298069,0.0
2019-01-28,3398,1482.7662599999996,0.0
2019-01-29,4640,2061.5285200000003,0.0
2019-01-30,4162,1764.438894,0.0
2019-01-31,5134,2248.957940000001,0.0
2019-02-01,8046,3571.2775600000004,0.0
2019-02-02,4379,1929.2391490000007,0.0
2019-02-03,1750,739.18293,0.0
2019-02-04,5370,2226.9378170000005,0.0
2019-02-05,2013,861.20814,0.0
2019-02-06,4733,2055.2352999999994,0.0
2019-02-07,4504,1906.7327300000004,0.0
2019-02-08,4476,2095.27503,0.0
2019-02-09,3596,1480.839,0.0
2019-02-10,1593,649.7734940000001,0.0
2019-02-11,5551,2400.85448,0.0
2019-02-12,2641,1157.1608199999998,0.0
2019-02-13,5704,2472.6974099999998,0.0
2019-02-14,2595,1069.361168,0.0
2019-02-15,3207,1316.8345400000003,0.0
2019-02-16,2556,1092.6002899999999,0.0
2019-02-17,3315,1364.9589500000004,0.0
2019-02-18,12687,5482.227349999999,0.0
2019-02-19,11738,5526.9320529999995,0.0
2019-02-20,4178,1819.52923,0.0
2019-02-21,7125,3336.19586,0.0
2019-02-22,6422,2938.004855,0.0
2019-02-23,3360,1489.4776140000004,0.0
2019-02-24,3891,1685.85536,0.0
2019-02-25,7516,3419.904386,0.0
2019-02-26,6888,3000.2345100000002,0.0
2019-02-27,4896,2050.7795199999996,0.0
2019-02-28,7230,3005.91431,0.0
2019-03-01,8700,3632.5340700000015,0.0
2019-03-02,4570,1801.1131500000001,0.0
2019-03-03,3707,1631.2867199999998,0.0
2019-03-04,1787,753.65472,0.0
2019-03-05,5690,2353.971541,0.0
2019-03-06,6424,2801.104070000001,0.0
2019-03-07,7951,3416.3172700000005,0.0
2019-03-08,5691,2470.3731900000002,0.0
